# Colored 3D Spiral
# Switches colors every 50 points
# Total points: 500
# Colors cycle through: red -> blue -> green -> yellow -> magenta -> cyan

pc 3.000000 1.000000 0.000000 red
pc 2.985012 1.050000 0.299500 red
pc 2.940200 1.100000 0.596008 red
pc 2.866009 1.150000 0.886561 red
pc 2.763183 1.200000 1.168255 red
pc 2.632748 1.250000 1.438277 red
pc 2.476007 1.300000 1.693927 red
pc 2.294527 1.350000 1.932653 red
pc 2.090120 1.400000 2.152068 red
pc 1.864830 1.450000 2.349981 red
pc 1.620907 1.500000 2.524413 red
pc 1.360788 1.550000 2.673622 red
pc 1.087073 1.600000 2.796117 red
pc 0.802496 1.650000 2.890675 red
pc 0.509901 1.700000 2.956349 red
pc 0.212212 1.750000 2.992485 red
pc -0.087599 1.800000 2.998721 red
pc -0.386533 1.850000 2.974994 red
pc -0.681606 1.900000 2.921543 red
pc -0.969869 1.950000 2.838900 red
pc -1.248441 2.000000 2.727892 red
pc -1.514538 2.050000 2.589628 red
pc -1.765503 2.100000 2.425489 red
pc -1.998828 2.150000 2.237116 red
pc -2.212181 2.200000 2.026390 red
pc -2.403431 2.250000 1.795416 red
pc -2.570666 2.300000 1.546504 red
pc -2.712216 2.350000 1.282140 red
pc -2.826667 2.400000 1.004964 red
pc -2.912874 2.450000 0.717748 red
pc -2.969977 2.500000 0.423360 red
pc -2.997405 2.550000 0.124742 red
pc -2.994884 2.600000 -0.175122 red
pc -2.962439 2.650000 -0.473237 red
pc -2.900395 2.700000 -0.766623 red
pc -2.809370 2.750000 -1.052350 red
pc -2.690275 2.800000 -1.327561 red
pc -2.544300 2.850000 -1.589508 red
pc -2.372903 2.900000 -1.835574 red
pc -2.177797 2.950000 -2.063298 red
pc -1.960931 3.000000 -2.270407 red
pc -1.724472 3.050000 -2.454831 red
pc -1.470782 3.100000 -2.614727 red
pc -1.202398 3.150000 -2.748498 red
pc -0.921999 3.200000 -2.854806 red
pc -0.632387 3.250000 -2.932590 red
pc -0.336458 3.300000 -2.981073 red
pc -0.037166 3.350000 -2.999770 red
pc 0.262497 3.400000 -2.988494 red
pc 0.559537 3.450000 -2.947358 red
pc 0.850987 3.500000 -2.876773 blue
pc 1.133933 3.550000 -2.777444 blue
pc 1.405550 3.600000 -2.650364 blue
pc 1.663123 3.650000 -2.496802 blue
pc 1.904079 3.700000 -2.318293 blue
pc 2.126009 3.750000 -2.116621 blue
pc 2.326698 3.800000 -1.893800 blue
pc 2.504138 3.850000 -1.652057 blue
pc 2.656559 3.900000 -1.393807 blue
pc 2.782435 3.950000 -1.121630 blue
pc 2.880511 4.000000 -0.838246 blue
pc 2.949805 4.050000 -0.546488 blue
pc 2.989626 4.100000 -0.249268 blue
pc 2.999576 4.150000 0.050442 blue
pc 2.979555 4.200000 0.349648 blue
pc 2.929763 4.250000 0.645360 blue
pc 2.850698 4.300000 0.934624 blue
pc 2.743149 4.350000 1.214550 blue
pc 2.608192 4.400000 1.482340 blue
pc 2.447175 4.450000 1.735319 blue
pc 2.261707 4.500000 1.970960 blue
pc 2.053640 4.550000 2.186907 blue
pc 1.825054 4.600000 2.381004 blue
pc 1.578233 4.650000 2.551310 blue
pc 1.315642 4.700000 2.696124 blue
pc 1.039906 4.750000 2.814000 blue
pc 0.753780 4.800000 2.903759 blue
pc 0.460122 4.850000 2.964505 blue
pc 0.161866 4.900000 2.995630 blue
pc -0.138006 4.950000 2.996824 blue
pc -0.436500 5.000000 2.968075 blue
pc -0.730632 5.050000 2.909669 blue
pc -1.017465 5.100000 2.822192 blue
pc -1.294131 5.150000 2.706516 blue
pc -1.557866 5.200000 2.563797 blue
pc -1.806036 5.250000 2.395461 blue
pc -2.036160 5.300000 2.203191 blue
pc -2.245940 5.350000 1.988908 blue
pc -2.433279 5.400000 1.754752 blue
pc -2.596306 5.450000 1.503063 blue
pc -2.733391 5.500000 1.236355 blue
pc -2.843165 5.550000 0.957295 blue
pc -2.924531 5.600000 0.668670 blue
pc -2.976676 5.650000 0.373363 blue
pc -2.999079 5.700000 0.074326 blue
pc -2.991516 5.750000 -0.225453 blue
pc -2.954064 5.800000 -0.522980 blue
pc -2.887095 5.850000 -0.815282 blue
pc -2.791279 5.900000 -1.099437 blue
pc -2.667573 5.950000 -1.372608 blue
pc -2.517215 6.000000 -1.632063 green
pc -2.341705 6.050000 -1.875212 green
pc -2.142797 6.100000 -2.099624 green
pc -1.922479 6.150000 -2.303057 green
pc -1.682953 6.200000 -2.483479 green
pc -1.426611 6.250000 -2.639087 green
pc -1.156015 6.300000 -2.768326 green
pc -0.873868 6.350000 -2.869905 green
pc -0.582990 6.400000 -2.942809 green
