# Stella Octangula - Compound of two interlocking tetrahedra
# First tetrahedron in red, second tetrahedron in blue
# Each tetrahedron has 6 edges

# First tetrahedron (red)
lc 9.000000 9.000000 9.000000 5.000000 5.000000 9.000000 red
lc 9.000000 9.000000 9.000000 5.000000 9.000000 5.000000 red
lc 9.000000 9.000000 9.000000 9.000000 5.000000 5.000000 red
lc 5.000000 5.000000 9.000000 5.000000 9.000000 5.000000 red
lc 5.000000 5.000000 9.000000 9.000000 5.000000 5.000000 red
lc 5.000000 9.000000 5.000000 9.000000 5.000000 5.000000 red

# Second tetrahedron (blue)
lc 5.000000 9.000000 9.000000 9.000000 5.000000 9.000000 blue
lc 5.000000 9.000000 9.000000 9.000000 9.000000 5.000000 blue
lc 5.000000 9.000000 9.000000 5.000000 5.000000 5.000000 blue
lc 9.000000 5.000000 9.000000 9.000000 9.000000 5.000000 blue
lc 9.000000 5.000000 9.000000 5.000000 5.000000 5.000000 blue
lc 9.000000 9.000000 5.000000 5.000000 5.000000 5.000000 blue
