# Trefoil Knot - Mathematical knot in 3D space
# Generated with 400 points
# Parametric equations: x = sin(t) + 2*sin(2t), y = cos(t) - 2*cos(2t), z = -sin(3t)

p 0.000000 2.500000 4.000000
p 0.118088 2.501302 3.929163
p 0.236077 2.505206 3.858485
p 0.353867 2.511707 3.788122
p 0.471359 2.520800 3.718232
p 0.588453 2.532473 3.648971
p 0.705051 2.546714 3.580493
p 0.821056 2.563507 3.512951
p 0.936368 2.582834 3.446496
p 1.050893 2.604673 3.381276
p 1.164532 2.629001 3.317436
p 1.277192 2.655791 3.255120
p 1.388777 2.685013 3.194466
p 1.499194 2.716635 3.135609
p 1.608351 2.750623 3.078681
p 1.716157 2.786939 3.023809
p 1.822522 2.825542 2.971115
p 1.927357 2.866391 2.920717
p 2.030576 2.909441 2.872727
p 2.132093 2.954643 2.827253
p 2.231824 3.001948 2.784395
p 2.329687 3.051304 2.744250
p 2.425602 3.102657 2.706907
p 2.519490 3.155949 2.672450
p 2.611275 3.211121 2.640955
p 2.700881 3.268113 2.612492
p 2.788236 3.326861 2.587125
p 2.873270 3.387301 2.564911
p 2.955915 3.449364 2.545900
p 3.036104 3.512983 2.530133
p 3.113773 3.578087 2.517645
p 3.188862 3.644602 2.508466
p 3.261312 3.712455 2.502615
p 3.331065 3.781571 2.500105
p 3.398069 3.851872 2.500941
p 3.462272 3.923279 2.505123
p 3.523625 3.995713 2.512641
p 3.582083 4.069092 2.523477
p 3.637601 4.143335 2.537608
p 3.690141 4.218357 2.555002
p 3.739663 4.294075 2.575621
p 3.786133 4.370403 2.599418
p 3.829520 4.447254 2.626340
p 3.869794 4.524543 2.656327
p 3.906928 4.602180 2.689313
p 3.940900 4.680079 2.725223
p 3.971690 4.758151 2.763978
p 3.999280 4.836306 2.805491
p 4.023656 4.914456 2.849669
p 4.044806 4.992511 2.896414
p 4.062723 5.070381 2.945622
p 4.077400 5.147977 2.997182
p 4.088837 5.225209 3.050980
p 4.097032 5.301988 3.106896
p 4.101991 5.378225 3.164804
p 4.103721 5.453831 3.224576
p 4.102229 5.528718 3.286079
p 4.097531 5.602798 3.349174
p 4.089641 5.675983 3.413722
p 4.078578 5.748189 3.479578
p 4.064363 5.819328 3.546595
p 4.047021 5.889317 3.614624
p 4.026580 5.958071 3.683513
p 4.003070 6.025509 3.753108
p 3.976523 6.091547 3.823254
p 3.946976 6.156106 3.893794
p 3.914467 6.219108 3.964572
p 3.879037 6.280474 4.035428
p 3.840731 6.340128 4.106206
p 3.799594 6.397996 4.176746
p 3.755677 6.454006 4.246892
p 3.709030 6.508085 4.316487
p 3.659707 6.560165 4.385376
p 3.607766 6.610177 4.453405
p 3.553265 6.658057 4.520422
p 3.496265 6.703741 4.586278
p 3.436829 6.747167 4.650826
p 3.375023 6.788276 4.713921
p 3.310915 6.827011 4.775424
p 3.244573 6.863316 4.835196
p 3.176071 6.897140 4.893104
p 3.105480 6.928432 4.949020
p 3.032877 6.957144 5.002818
p 2.958338 6.983231 5.054378
p 2.881943 7.006649 5.103586
p 2.803770 7.027360 5.150331
p 2.723903 7.045325 5.194509
p 2.642423 7.060509 5.236022
p 2.559416 7.072880 5.274777
p 2.474968 7.082409 5.310687
p 2.389164 7.089068 5.343673
p 2.302094 7.092834 5.373660
p 2.213845 7.093686 5.400582
p 2.124508 7.091605 5.424379
p 2.034173 7.086577 5.444998
p 1.942932 7.078588 5.462392
p 1.850877 7.067628 5.476523
p 1.758100 7.053692 5.487359
p 1.664694 7.036776 5.494877
p 1.570752 7.016878 5.499059
p 1.476368 6.994002 5.499895
p 1.381635 6.968151 5.497385
p 1.286647 6.939335 5.491534
p 1.191499 6.907563 5.482355
p 1.096283 6.872851 5.469867
p 1.001093 6.835215 5.454100
p 0.906022 6.794674 5.435089
p 0.811163 6.751253 5.412875
p 0.716608 6.704975 5.387508
p 0.622448 6.655870 5.359045
p 0.528775 6.603968 5.327550
p 0.435679 6.549305 5.293093
p 0.343249 6.491916 5.255750
p 0.251574 6.431842 5.215605
p 0.160741 6.369125 5.172747
p 0.070836 6.303810 5.127273
p -0.018055 6.235945 5.079283
p -0.105849 6.165579 5.028885
p -0.192464 6.092766 4.976191
p -0.277817 6.017561 4.921319
p -0.361829 5.940022 4.864391
p -0.444424 5.860209 4.805534
p -0.525523 5.778185 4.744880
p -0.605054 5.694014 4.682564
p -0.682942 5.607763 4.618724
p -0.759118 5.519502 4.553504
p -0.833512 5.429302 4.487049
p -0.906057 5.337235 4.419507
p -0.976689 5.243379 4.351029
p -1.045346 5.147809 4.281768
p -1.111966 5.050604 4.211878
p -1.176491 4.951846 4.141515
p -1.238867 4.851617 4.070837
p -1.299038 4.750000 4.000000
p -1.356955 4.647082 3.929163
p -1.412569 4.542948 3.858485
p -1.465833 4.437688 3.788122
p -1.516704 4.331392 3.718232
p -1.565142 4.224148 3.648971
p -1.611108 4.116051 3.580493
p -1.654567 4.007192 3.512951
p -1.695486 3.897664 3.446496
p -1.733835 3.787564 3.381276
p -1.769586 3.676985 3.317436
p -1.802715 3.566024 3.255120
p -1.833200 3.454778 3.194466
p -1.861023 3.343342 3.135609
p -1.886168 3.231816 3.078681
p -1.908620 3.120295 3.023809
p -1.928371 3.008879 2.971115
p -1.945413 2.897664 2.920717
p -1.959740 2.786749 2.872727
p -1.971352 2.676232 2.827253
p -1.980250 2.566210 2.784395
p -1.986438 2.456779 2.744250
p -1.989923 2.348039 2.706907
p -1.990715 2.240083 2.672450
p -1.988826 2.133009 2.640955
p -1.984273 2.026912 2.612492
p -1.977073 1.921886 2.587125
p -1.967248 1.818025 2.564911
p -1.954822 1.715421 2.545900
p -1.939821 1.614166 2.530133
p -1.922274 1.514350 2.517645
p -1.902215 1.416063 2.508466
p -1.879677 1.319393 2.502615
p -1.854698 1.224427 2.500105
p -1.827317 1.131250 2.500941
p -1.797578 1.039945 2.505123
p -1.765525 0.950595 2.512641
p -1.731206 0.863279 2.523477
p -1.694669 0.778077 2.537608
p -1.655967 0.695066 2.555002
p -1.615155 0.614319 2.575621
p -1.572288 0.535911 2.599418
p -1.527426 0.459911 2.626340
p -1.480629 0.386389 2.656327
p -1.431960 0.315411 2.689313
p -1.381484 0.247040 2.725223
p -1.329267 0.181340 2.763978
p -1.275377 0.118369 2.805491
p -1.219886 0.058184 2.849669
p -1.162864 0.000840 2.896414
p -1.104384 -0.053611 2.945622
p -1.044523 -0.105120 2.997182
p -0.983356 -0.153641 3.050980
p -0.920962 -0.199128 3.106896
p -0.857418 -0.241541 3.164804
p -0.792806 -0.280842 3.224576
p -0.727207 -0.316994 3.286079
p -0.660702 -0.349965 3.349174
p -0.593376 -0.379725 3.413722
p -0.525313 -0.406246 3.479578
p -0.456597 -0.429506 3.546595
p -0.387314 -0.449482 3.614624
p -0.317550 -0.466156 3.683513
p -0.247393 -0.479514 3.753108
p -0.176929 -0.489543 3.823254
p -0.106245 -0.496234 3.893794
p -0.035430 -0.499582 3.964572
p 0.035430 -0.499582 4.035428
p 0.106245 -0.496234 4.106206
p 0.176929 -0.489543 4.176746
p 0.247393 -0.479514 4.246892
p 0.317550 -0.466156 4.316487
p 0.387314 -0.449482 4.385376
p 0.456597 -0.429506 4.453405
p 0.525313 -0.406246 4.520422
p 0.593376 -0.379725 4.586278
p 0.660702 -0.349965 4.650826
p 0.727207 -0.316994 4.713921
p 0.792806 -0.280842 4.775424
p 0.857418 -0.241541 4.835196
p 0.920962 -0.199128 4.893104
p 0.983356 -0.153641 4.949020
p 1.044523 -0.105120 5.002818
p 1.104384 -0.053611 5.054378
p 1.162864 0.000840 5.103586
p 1.219886 0.058184 5.150331
p 1.275377 0.118369 5.194509
p 1.329267 0.181340 5.236022
p 1.381484 0.247040 5.274777
p 1.431960 0.315411 5.310687
p 1.480629 0.386389 5.343673
p 1.527426 0.459911 5.373660
p 1.572288 0.535911 5.400582
p 1.615155 0.614319 5.424379
p 1.655967 0.695066 5.444998
p 1.694669 0.778077 5.462392
p 1.731206 0.863279 5.476523
p 1.765525 0.950595 5.487359
p 1.797578 1.039945 5.494877
p 1.827317 1.131250 5.499059
p 1.854698 1.224427 5.499895
p 1.879677 1.319393 5.497385
p 1.902215 1.416063 5.491534
p 1.922274 1.514350 5.482355
p 1.939821 1.614166 5.469867
p 1.954822 1.715421 5.454100
p 1.967248 1.818025 5.435089
p 1.977073 1.921886 5.412875
p 1.984273 2.026912 5.387508
p 1.988826 2.133009 5.359045
p 1.990715 2.240083 5.327550
p 1.989923 2.348039 5.293093
p 1.986438 2.456779 5.255750
p 1.980250 2.566210 5.215605
p 1.971352 2.676232 5.172747
p 1.959740 2.786749 5.127273
p 1.945413 2.897664 5.079283
p 1.928371 3.008879 5.028885
p 1.908620 3.120295 4.976191
p 1.886168 3.231816 4.921319
p 1.861023 3.343342 4.864391
